target_rva,name,source_tag,source_sha256,source_rva
0x00BAC620,RobotModMenu::ShowCurrent3D,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00AF6050
0x00BCB1D0,TerminalMenuButtons::Call,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B0FB80
0x00BEC230,WorkbenchMenuBase::UpdateOptimizedAutoBuildInv,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B29690
0x00BF19D0,WorkshopMenu::PassesRenderConditionText,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B2E270
0x00BF2130,WorkshopMenu::CheckAndSetItemForPlacement,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B2EB50
0x00BF54E0,NVGodrays::ApplyLighting,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x02212B90
0x00C008F0,nsWorkshopMenu::WorkshopMenuPromptRequest::onPromptPressed,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B39730
0x00C04470,PipboyArray::SerializeChanges,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B3C580
0x00C0F7C0,PipboyInventoryData::BaseAddItemCardInfoEntry,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B44F30
0x00C1EEF0,PipboyManager::PipboyManager_dtor,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B4FA70
0x00C1F290,PipboyManager::PlayPipboyGenericOpenAnim,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B50020
0x00C1F720,PipboyManager::StopExamineMenu,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B50450
0x00C1F7B0,PipboyManager::AddMenuToPipboy,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B504E0
0x00C1F810,PipboyManager::LowerPipboy,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B50540
0x00C1F950,PipboyManager::RaisePipboy,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B50680
0x00C20040,PipboyManager::PlayItemAnimOnClose,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B50ED0
0x00C20130,PipboyManager::ShouldHandleEvent,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B50FC0
0x00C205E0,PipboyManager::EnableRenderer,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B51480
0x00C214C0,PipboyManager::ProcessLoweringReason,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B52400
0x00C21630,PipboyManager::UpdateCursorConstraint,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00B52570
0x00C33620,PipboyPerksData::DoClearData,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B5EEE0
0x00C40A40,PipboyStatsData::DoClearData,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B68D90
0x00C47B20,PipboyValue::SerializeChanges,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00B6DA10
